                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  5.445,                 5.5954,                 4.7953,                0.00011,                0.00214,                  6e-05,                  2e-05,                 5.5767,                 4.7844,                 4.1613,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                 5.3689,                 5.0788,                 4.6682,                0.00021,                0.00214,                 0.0001,                  4e-05,                 5.5764,                 4.7951,                 4.1644,             0.00014854,             0.00014854,             0.00014854
                      3,                 5.2546,                 4.6161,                 4.3016,                0.00023,                0.00214,                0.00012,                  5e-05,                 5.5761,                  4.812,                 4.1691,             0.00022876,             0.00022876,             0.00022876
                      4,                 4.7406,                 3.7767,                 4.1931,                0.00024,                0.00214,                0.00012,                  4e-05,                 5.5763,                 4.8275,                 4.1745,             0.00030732,             0.00030732,             0.00030732
                      5,                 4.6121,                 3.4504,                 4.0725,                0.00023,                0.00214,                0.00012,                  3e-05,                 5.5778,                 4.8499,                 4.1856,             0.00038424,             0.00038424,             0.00038424
                      6,                 4.7203,                 3.2534,                 3.9116,                0.00024,                0.00214,                0.00012,                  3e-05,                 5.5806,                 4.8589,                 4.1953,              0.0004595,              0.0004595,              0.0004595
                      7,                 4.2818,                  3.056,                 3.8061,                0.00025,                0.00214,                0.00012,                  4e-05,                 5.5837,                 4.8612,                 4.2154,             0.00053311,             0.00053311,             0.00053311
                      8,                 3.7539,                  2.715,                  3.548,                0.00025,                0.00214,                0.00013,                  3e-05,                 5.5841,                  4.871,                 4.2339,             0.00060508,             0.00060508,             0.00060508
                      9,                 3.5837,                  2.346,                 3.1814,                0.00026,                0.00214,                0.00013,                  3e-05,                 5.5851,                 4.8909,                 4.2661,             0.00067539,             0.00067539,             0.00067539
                     10,                 3.1775,                 2.0782,                 2.8822,                0.00027,                0.00214,                0.00013,                  4e-05,                 5.5879,                 4.8771,                 4.2871,             0.00074405,             0.00074405,             0.00074405
                     11,                 3.3927,                 2.0168,                 2.6581,                0.00027,                0.00214,                0.00014,                  4e-05,                 5.5903,                  4.963,                 4.3018,             0.00081106,             0.00081106,             0.00081106
                     12,                  3.009,                 1.8116,                 2.5035,                0.00028,                0.00214,                0.00014,                  3e-05,                 5.5921,                 4.9662,                 4.3138,             0.00087642,             0.00087642,             0.00087642
                     13,                 2.9957,                  1.685,                  2.357,                0.00028,                0.00214,                0.00014,                  3e-05,                  5.594,                 4.9553,                  4.318,             0.00094013,             0.00094013,             0.00094013
                     14,                  2.987,                 1.7074,                 2.2731,                0.00026,                0.00214,                0.00013,                  3e-05,                 5.5918,                 4.9641,                 4.3243,              0.0010022,              0.0010022,              0.0010022
                     15,                 3.3875,                 1.8759,                 2.1713,                0.00029,                0.00214,                0.00015,                  3e-05,                 5.5878,                 4.9603,                 4.3301,              0.0010626,              0.0010626,              0.0010626
                     16,                  3.032,                 1.7718,                 2.0347,                0.00029,                0.00214,                0.00015,                  3e-05,                 5.5846,                 4.9273,                 4.3259,              0.0011214,              0.0011214,              0.0011214
                     17,                 2.7139,                 1.6086,                 2.0696,                 0.0003,                0.00214,                0.00015,                  3e-05,                 5.5815,                 4.8926,                 4.3214,              0.0011785,              0.0011785,              0.0011785
                     18,                 2.6309,                 1.6313,                  2.089,                 0.0003,                0.00214,                0.00015,                  3e-05,                 5.5826,                 4.8854,                 4.3201,              0.0012339,              0.0012339,              0.0012339
                     19,                 2.7993,                 1.6315,                 1.9848,                 0.0003,                0.00214,                0.00015,                  3e-05,                 5.5838,                 4.8802,                 4.3224,              0.0012877,              0.0012877,              0.0012877
                     20,                 2.5221,                 1.5232,                 1.8737,                0.00034,                0.00214,                0.00017,                  3e-05,                 5.5824,                 4.8867,                 4.3389,              0.0013399,              0.0013399,              0.0013399
                     21,                 2.6074,                  1.463,                 1.8396,                0.00034,                0.00214,                0.00017,                  3e-05,                 5.5822,                 4.8824,                 4.3408,              0.0013369,              0.0013369,              0.0013369
                     22,                 2.4737,                 1.5101,                 1.8384,                0.00034,                0.00214,                0.00017,                  3e-05,                 5.5821,                 4.8693,                 4.3418,              0.0013369,              0.0013369,              0.0013369
                     23,                 2.5061,                 1.4682,                 1.8262,                0.00034,                0.00214,                0.00017,                  3e-05,                  5.582,                 4.8914,                 4.3488,              0.0013204,              0.0013204,              0.0013204
                     24,                 2.5393,                 1.4154,                 1.7643,                0.00034,                0.00214,                0.00017,                  3e-05,                 5.5794,                 4.8946,                 4.3412,              0.0013039,              0.0013039,              0.0013039
                     25,                 2.5133,                 1.3879,                 1.7667,                0.00047,                0.00285,                0.00274,                0.00068,                 5.4759,                 4.8687,                 4.2606,              0.0012874,              0.0012874,              0.0012874
                     26,                 2.4206,                 1.3661,                 1.6817,                0.00278,                0.01712,                  0.004,                0.00095,                  5.163,                 4.5983,                 4.0765,              0.0012709,              0.0012709,              0.0012709
                     27,                 2.4534,                 1.4514,                 1.7151,                0.00845,                0.05706,                0.01583,                0.00402,                 4.6706,                 4.0795,                 3.6939,              0.0012544,              0.0012544,              0.0012544
                     28,                 2.3325,                 1.3778,                 1.6408,                0.02086,                 0.2368,                0.05443,                0.01455,                 3.5081,                 2.9895,                 2.8787,              0.0012379,              0.0012379,              0.0012379
                     29,                  2.397,                 1.3894,                 1.6535,                0.02528,                0.34023,                0.06893,                0.01798,                 3.2561,                 2.6691,                 2.6422,              0.0012214,              0.0012214,              0.0012214
                     30,                 2.3464,                 1.3478,                 1.6051,                0.59293,                0.10161,                0.08237,                0.02292,                  3.111,                 2.3674,                 2.3971,              0.0012049,              0.0012049,              0.0012049
                     31,                 2.2932,                 1.3054,                 1.5984,                0.60906,                0.21352,                  0.095,                0.02788,                 2.9024,                 2.1141,                 2.2108,              0.0011884,              0.0011884,              0.0011884
                     32,                  2.258,                  1.391,                 1.6479,                0.64142,                0.27889,                0.12812,                0.03956,                  2.658,                 1.8485,                 1.9703,              0.0011719,              0.0011719,              0.0011719
                     33,                  2.189,                 1.2732,                 1.5229,                0.64174,                 0.2689,                0.13043,                0.03824,                 2.6998,                  1.801,                 1.9264,              0.0011554,              0.0011554,              0.0011554
                     34,                  2.206,                 1.2866,                 1.5339,                0.69325,                0.28103,                0.18622,                0.05227,                 2.6232,                 1.6557,                 1.8439,              0.0011389,              0.0011389,              0.0011389
                     35,                 2.1371,                 1.2677,                 1.5716,                0.79151,                0.30717,                0.30034,                0.09696,                 2.3805,                 1.4663,                  1.716,              0.0011224,              0.0011224,              0.0011224
                     36,                 2.3007,                 1.2658,                 1.5357,                0.79387,                0.34879,                0.30624,                0.09787,                 2.2162,                 1.2962,                 1.6094,              0.0011059,              0.0011059,              0.0011059
                     37,                 2.2052,                 1.2476,                 1.5295,                0.80264,                0.34308,                 0.3167,                0.10158,                 2.1833,                 1.2976,                 1.5841,              0.0010894,              0.0010894,              0.0010894
                     38,                 2.1776,                  1.237,                 1.5195,                0.82694,                0.34765,                0.33075,                0.10904,                 2.1527,                 1.3064,                 1.5587,              0.0010729,              0.0010729,              0.0010729
                     39,                 2.1509,                 1.2668,                 1.5523,                0.87836,                0.38659,                0.38314,                0.14164,                 2.0644,                 1.2947,                  1.528,              0.0010564,              0.0010564,              0.0010564
                     40,                 2.3329,                 1.2418,                 1.5456,                0.87008,                0.38302,                 0.3878,                0.14049,                 2.0859,                  1.232,                 1.5205,              0.0010399,              0.0010399,              0.0010399
                     41,                  2.107,                 1.1731,                 1.4755,                0.88021,                0.39586,                0.41166,                0.15896,                 2.0181,                 1.1974,                  1.479,              0.0010234,              0.0010234,              0.0010234
                     42,                 2.0507,                 1.1747,                 1.4614,                0.90582,                0.40728,                0.42834,                0.18221,                 1.9381,                 1.1705,                 1.4386,              0.0010069,              0.0010069,              0.0010069
                     43,                 2.0763,                 1.2205,                  1.477,                0.91001,                 0.4087,                0.42947,                0.18557,                 1.9229,                 1.1694,                 1.4332,             0.00099036,             0.00099036,             0.00099036
                     44,                 2.1934,                 1.1939,                 1.4712,                0.90473,                0.40514,                0.43089,                0.19077,                 1.9192,                 1.1123,                  1.419,             0.00097386,             0.00097386,             0.00097386
                     45,                 2.0642,                 1.3117,                 1.5349,                0.89925,                0.40442,                0.42879,                0.18486,                 1.9245,                 1.1004,                 1.4108,             0.00095736,             0.00095736,             0.00095736
                     46,                 2.0806,                  1.206,                 1.4889,                0.89127,                0.38944,                 0.4258,                0.17485,                 1.9604,                 1.1096,                 1.4118,             0.00094085,             0.00094085,             0.00094085
                     47,                 2.1022,                 1.1695,                 1.4217,                0.88523,                0.40514,                0.42409,                0.16805,                  1.987,                 1.1264,                 1.4366,             0.00092435,             0.00092435,             0.00092435
                     48,                 2.2525,                 1.1653,                 1.4164,                0.90367,                0.40946,                0.43486,                0.17933,                 1.9593,                 1.1291,                 1.4245,             0.00090785,             0.00090785,             0.00090785
                     49,                  2.185,                 1.1394,                 1.3945,                0.91264,                0.40767,                 0.4415,                 0.1936,                 1.9064,                 1.1158,                 1.3908,             0.00089134,             0.00089134,             0.00089134
                     50,                 2.0631,                 1.1117,                  1.373,                0.91213,                0.40813,                0.43977,                0.20368,                 1.8678,                 1.1018,                 1.3675,             0.00087484,             0.00087484,             0.00087484
                     51,                  2.085,                 1.1829,                 1.4126,                 0.9181,                0.39515,                0.43935,                0.19359,                 1.9522,                 1.1334,                 1.3778,             0.00085834,             0.00085834,             0.00085834
                     52,                  2.015,                  1.077,                 1.3476,                0.91349,                0.37874,                0.43354,                0.19894,                  1.926,                  1.239,                 1.3707,             0.00084184,             0.00084184,             0.00084184
                     53,                  2.069,                 1.1539,                 1.4351,                0.90044,                0.39586,                0.43613,                0.18656,                 1.9291,                 1.1522,                  1.377,             0.00082533,             0.00082533,             0.00082533
                     54,                 2.1267,                 1.1798,                 1.4439,                 0.9338,                 0.4066,                0.44522,                0.18509,                 1.9441,                 1.0649,                 1.4008,             0.00080883,             0.00080883,             0.00080883
                     55,                 2.0751,                 1.1114,                 1.4429,                 0.9331,                0.41558,                0.44399,                0.19126,                 1.9088,                 1.0848,                 1.3955,             0.00079233,             0.00079233,             0.00079233
                     56,                 2.0321,                 1.1453,                 1.4055,                0.88751,                0.41769,                0.40727,                0.18023,                 1.8782,                 1.1969,                  1.376,             0.00077582,             0.00077582,             0.00077582
                     57,                 2.0908,                 1.1605,                 1.3595,                0.92258,                0.42011,                0.44096,                0.19651,                 1.8363,                 1.0874,                 1.3526,             0.00075932,             0.00075932,             0.00075932
                     58,                 1.9978,                  1.086,                 1.3558,                0.93969,                0.42122,                0.45478,                0.20777,                 1.8358,                 1.0442,                 1.3609,             0.00074282,             0.00074282,             0.00074282
                     59,                   1.95,                 1.1114,                 1.3794,                0.91854,                 0.3921,                0.43554,                0.19385,                 1.8913,                 1.0879,                 1.3897,             0.00072631,             0.00072631,             0.00072631
                     60,                 2.0558,                  1.114,                 1.3915,                0.91244,                0.41326,                0.44003,                0.19831,                 1.8984,                 1.0645,                 1.3799,             0.00070981,             0.00070981,             0.00070981
                     61,                 1.9354,                 1.0707,                 1.3765,                0.92232,                0.43723,                0.45758,                0.21232,                 1.8489,                 1.0346,                 1.3467,             0.00069331,             0.00069331,             0.00069331
                     62,                 1.8959,                  1.076,                 1.3307,                0.93054,                0.43509,                0.46049,                0.21576,                 1.8001,                 1.0353,                 1.3226,              0.0006768,              0.0006768,              0.0006768
                     63,                 1.9838,                 1.2876,                 1.4996,                 0.9279,                0.43795,                0.46034,                0.21752,                  1.768,                  1.058,                 1.3108,              0.0006603,              0.0006603,              0.0006603
                     64,                 1.9241,                 1.0459,                 1.3154,                 0.9306,                0.43438,                0.45906,                0.20883,                 1.7956,                 1.0664,                 1.3233,              0.0006438,              0.0006438,              0.0006438
                     65,                 1.9135,                 1.0727,                 1.3656,                0.92956,                0.43496,                0.46355,                0.21302,                 1.7981,                 1.0566,                 1.3219,             0.00062729,             0.00062729,             0.00062729
                     66,                 1.9574,                 1.0567,                 1.3401,                0.92944,                0.43866,                0.46464,                0.21301,                 1.7962,                 1.0286,                 1.3168,             0.00061079,             0.00061079,             0.00061079
                     67,                  2.009,                  1.034,                 1.3304,                0.92752,                0.43754,                0.46767,                0.21785,                  1.774,                 1.0252,                 1.3126,             0.00059429,             0.00059429,             0.00059429
                     68,                 1.9925,                 1.0031,                 1.2797,                0.90743,                0.42694,                0.46194,                0.21505,                 1.8381,                 1.0412,                 1.3478,             0.00057778,             0.00057778,             0.00057778
                     69,                 1.9578,                 1.0979,                  1.412,                0.90215,                0.42011,                0.46046,                0.21833,                 1.8232,                 1.0306,                 1.3423,             0.00056128,             0.00056128,             0.00056128
                     70,                 1.9614,                 1.0552,                 1.3869,                0.89888,                0.42205,                0.45755,                0.21223,                 1.8036,                 1.0259,                 1.3328,             0.00054478,             0.00054478,             0.00054478
                     71,                 2.0133,                 1.0352,                 1.3589,                0.91305,                0.42011,                0.46056,                0.21204,                 1.7902,                 1.0185,                 1.3258,             0.00052827,             0.00052827,             0.00052827
                     72,                 1.9717,                 1.0071,                 1.3017,                 0.9158,                0.41918,                0.46726,                0.20489,                 1.8058,                 1.0457,                 1.3208,             0.00051177,             0.00051177,             0.00051177
                     73,                 1.9655,                 1.0496,                 1.3378,                0.92372,                0.42391,                0.47335,                0.21378,                 1.7879,                  1.031,                 1.3103,             0.00049527,             0.00049527,             0.00049527
                     74,                 1.8338,                 1.0242,                 1.2956,                0.93129,                0.43081,                0.48139,                0.22246,                 1.7764,                 1.0151,                 1.3018,             0.00047876,             0.00047876,             0.00047876
                     75,                 1.8442,                 1.0097,                 1.3028,                0.93454,                0.43563,                0.47791,                0.23081,                 1.7665,                0.99211,                 1.2955,             0.00046226,             0.00046226,             0.00046226
                     76,                 1.8249,                0.99077,                  1.282,                0.93162,                0.44864,                0.47839,                0.23387,                 1.7389,                0.97248,                 1.2788,             0.00044576,             0.00044576,             0.00044576
                     77,                 1.9398,                 1.0489,                 1.3137,                0.93442,                0.45363,                0.47939,                0.23802,                 1.7003,                 0.9572,                 1.2638,             0.00042925,             0.00042925,             0.00042925
                     78,                 1.9629,                 1.0153,                 1.3021,                0.93911,                0.44752,                0.47832,                0.23504,                 1.7028,                0.96121,                 1.2638,             0.00041275,             0.00041275,             0.00041275
                     79,                 1.9329,                 1.0049,                 1.3014,                0.93804,                0.43874,                0.48005,                0.22768,                 1.7346,                0.96878,                  1.278,             0.00039625,             0.00039625,             0.00039625
                     80,                 1.8929,                 1.0561,                 1.3124,                 0.9394,                0.42939,                0.47716,                0.22947,                 1.7214,                 0.9605,                 1.2691,             0.00037974,             0.00037974,             0.00037974
                     81,                  1.876,                 1.0423,                 1.3073,                0.94598,                0.43438,                0.48107,                0.23082,                 1.7116,                0.95818,                 1.2628,             0.00036324,             0.00036324,             0.00036324
                     82,                 1.8249,                  1.017,                 1.3056,                0.93766,                 0.4457,                0.48663,                0.23655,                 1.6953,                 0.9516,                 1.2572,             0.00034674,             0.00034674,             0.00034674
                     83,                 1.8884,                 1.1804,                  1.374,                0.94534,                0.44294,                0.49205,                0.24264,                 1.6818,                0.95404,                 1.2595,             0.00033023,             0.00033023,             0.00033023
                     84,                 1.7711,                0.95985,                 1.2256,                0.94999,                0.44921,                 0.4909,                0.24148,                 1.7322,                0.95983,                 1.2697,             0.00031373,             0.00031373,             0.00031373
                     85,                  1.933,                  1.043,                 1.3348,                0.94171,                0.44859,                0.48939,                0.24152,                 1.7467,                0.96678,                 1.2738,             0.00029723,             0.00029723,             0.00029723
                     86,                  1.854,                0.96814,                 1.2431,                0.94062,                0.44437,                0.48884,                0.24064,                 1.7491,                0.96983,                 1.2756,             0.00028072,             0.00028072,             0.00028072
                     87,                 1.8772,                 1.0493,                 1.3044,                0.94134,                0.44437,                0.48834,                0.23833,                 1.7469,                0.96446,                 1.2726,             0.00026422,             0.00026422,             0.00026422
                     88,                 1.8599,                0.97859,                 1.2322,                0.94033,                0.44223,                0.49062,                0.23107,                 1.7464,                 0.9516,                 1.2664,             0.00024772,             0.00024772,             0.00024772
                     89,                 1.8318,                0.95972,                 1.2359,                 0.9406,                0.44294,                0.49089,                0.23568,                 1.7087,                0.94235,                 1.2602,             0.00023121,             0.00023121,             0.00023121
                     90,                 1.8032,                0.95373,                 1.2443,                0.94122,                0.44439,                0.49261,                0.24052,                 1.6844,                0.93285,                 1.2535,             0.00021471,             0.00021471,             0.00021471
                     91,                 1.8915,                 1.2399,                 1.2997,                0.94668,                 0.4422,                0.49519,                0.24247,                 1.6746,                0.94276,                 1.2509,             0.00019821,             0.00019821,             0.00019821
                     92,                 1.7934,                 1.0659,                 1.2812,                0.94778,                0.44223,                  0.495,                0.23869,                 1.6892,                0.98445,                 1.2546,              0.0001817,              0.0001817,              0.0001817
                     93,                 1.7928,                 1.0531,                 1.2886,                0.94979,                 0.4408,                  0.493,                0.23782,                 1.6865,                 1.0045,                 1.2531,              0.0001652,              0.0001652,              0.0001652
                     94,                 1.8572,                 1.1389,                 1.4341,                0.94547,                 0.4428,                0.49889,                0.24106,                 1.6831,                  1.013,                 1.2491,              0.0001487,              0.0001487,              0.0001487
                     95,                 2.0625,                 1.1514,                 1.3327,                  0.949,                0.44586,                0.50057,                0.24378,                 1.6817,                 1.0002,                 1.2432,             0.00013219,             0.00013219,             0.00013219
                     96,                 1.8617,                 1.1161,                 1.2752,                0.95094,                 0.4465,                0.50653,                0.24697,                  1.674,                0.96346,                 1.2337,             0.00011569,             0.00011569,             0.00011569
                     97,                 1.7487,                 1.0442,                 1.3043,                0.94992,                0.44858,                0.50941,                0.24862,                 1.6705,                0.94697,                 1.2293,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                 1.8393,                 1.1244,                   1.41,                0.95746,                0.44579,                0.51149,                 0.2497,                 1.6697,                 0.9321,                 1.2261,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                 1.7265,                 1.0171,                 1.2572,                0.95524,                0.44978,                 0.5123,                0.25366,                 1.6623,                0.92252,                 1.2233,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                 1.7605,                 1.0007,                 1.2672,                0.95629,                0.45078,                0.51224,                0.25644,                 1.6502,                0.91009,                 1.2178,             4.9677e-05,             4.9677e-05,             4.9677e-05
